filename	SampleTypeSub1	UBERONBodyPartName	MassiveID	SampleType	NCBITaxonomy
G72449.mzML	food_source_plant	stem	MSV000096584	food	4678|Allium
G72472.mzML	food_source_plant	stem	MSV000096584	food	4045|Apium graveolens
J138.mzML	food_source_animal		MSV000096584	food	9823|Sus scrofa
J142.mzML	food_source_animal		MSV000096584	food	9823|Sus scrofa
J123.mzML	food_source_plant	stem	MSV000096584	food	94328|Zingiber officinale
G72451.mzML	food_source_plant	stem	MSV000096584	food	4679|x
G79166.mzML	food_source_plant	fruit	MSV000096584	food	4072|Capsicum annuum
F_B8.mzML	food_source_plant		MSV000096584	food	NA|x
G75084.mzML	food_source_plant	fruit	MSV000096584	food	381124|Zea mays subsp. mays
J101.mzML	food_source_plant	seed	MSV000096584	food	NA|x
G75083.mzML	food_source_plant	seed	MSV000096584	food	3888|Pisum sativum
J102.mzML	food_source_plant	seed	MSV000096584	food	3914|Vigna angularis
J128.mzML	food_source_plant	fruit	MSV000096584	food	29780|Mangifera indica
J126.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
G86946.mzML	food_source_plant		MSV000096584	food	NA|x
G87499.mzML	food_source_plant	fruit	MSV000096584	food	29760|Vitis vinifera
F_E1.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
J125.mzML	food_source_plant	fruit	MSV000096584	food	3654|Citrullus lanatus
J117.mzML	food_source_plant		MSV000096584	food	29760|Vitis vinifera
J119.mzML	food_source_animal	milk	MSV000096584	food	NA|x
J127.mzML	food_source_animal	milk	MSV000096584	food	NA|x
J105.mzML	food_source_plant	leaf	MSV000096584	food	39350|Ocimum basilicum
F_E2.mzML	food_source_plant	bulb	MSV000096584	food	4679|Allium cepa
F_D2.mzML	food_source_plant		MSV000096584	food	NA|x
J112.mzML	food_source_plant		MSV000096584	food	NA|x
J124.mzML	food_source_plant		MSV000096584	food	NA|x
J100.mzML	food_source_plant	fruit	MSV000096584	food	4577|Zea mays
J130.mzML	food_source_plant	fruit	MSV000096584	food	4577|Zea mays
J137.mzML	food_source_animal		MSV000096584	food	NA|x
J143.mzML	food_source_animal		MSV000096584	food	NA|x
J103.mzML	food_source_plant	seed	MSV000096584	food	NA|x
J104.mzML	food_source_plant	seed	MSV000096584	food	NA|x
J106.mzML	food_source_plant	seed	MSV000096584	food	NA|x
J107.mzML	food_source_plant	seed	MSV000096584	food	NA|x
J108.mzML	food_source_plant	seed	MSV000096584	food	NA|x
J111.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
J115.mzML	food_source_plant	seed	MSV000096584	food	NA|x
J118.mzML	food_source_plant	fruit	MSV000096584	food	23216|Rubus
J144.mzML	food_source_plant	seed	MSV000096584	food	NA|x
J145.mzML	food_source_plant	seed	MSV000096584	food	NA|x
